python3 main.py
Hello World!
(0.013449481572491134, 0.00017952325178913976)
Iteration 0-0, k: 10, rho: 0.5
Lambda: 250.0
Q size: 0.019309262166405022
Packets generated: 1243
Proportion of packets lost: 0.9774738535800482
Observer: 0.40052636038865574 0
Observer: 0.401426303010068 0
Observer: 0.4017675258525655 0
Observer: 0.4036045199189297 0
Dropped: 0.4051712595700466 0
Observer: 0.4055440722908338 0
Observer: 0.4056706202497356 0
Observer: 0.4063478073840777 0
Observer: 0.4074846034310238 0
Observer: 0.4075610595706232 0
Observer: 0.40894707036822636 0
Observer: 0.40902699332193393 0
Observer: 0.41064166444263195 0
Dropped: 0.4117536697608667 0
Dropped: 0.4120699000308565 0
Observer: 0.4144379304320335 0
Observer: 0.4147108622320618 0
Dropped: 0.41490016436969984 0
Observer: 0.415336855999833 0
Observer: 0.41540709511531604 0
Observer: 0.41564906031497795 0
Observer: 0.41657909751493044 0
Observer: 0.416932347190694 0
Observer: 0.4179059980596914 0
Observer: 0.41852082803162644 0
Observer: 0.41854276323526074 0
Observer: 0.41937202105257665 0
Observer: 0.4198435158872091 0
Observer: 0.4207251248864797 0
Dropped: 0.42086713729691644 0
Observer: 0.4212139015769186 0
Dropped: 0.42127729358371 0
Dropped: 0.42171593634361976 0
Observer: 0.4222443785691311 0
Observer: 0.4230244630962418 0
Observer: 0.4238603611570943 0
Observer: 0.4243592438416145 0
Observer: 0.42468852806812196 0
Dropped: 0.4247171076353878 0
Observer: 0.42494629547078305 0
Observer: 0.42586766844793744 0
Dropped: 0.42644356112804643 0
Observer: 0.42820209192660197 0
Observer: 0.42864356012795063 0
Observer: 0.42883342703641775 0
Observer: 0.42899163463097695 0
Observer: 0.42990894926638223 0
Observer: 0.4301406371935606 0
Observer: 0.4303365235310745 0
Observer: 0.43350750185086795 0
Observer: 0.43425616671343864 0
Observer: 0.434458629595046 0
Observer: 0.43453855007732245 0
Observer: 0.4347869484424606 0
Observer: 0.4363791957273981 0
Observer: 0.436514407137794 0
Observer: 0.43691456086834596 0
Observer: 0.4373256051036715 0
Observer: 0.4378633929707133 0
Observer: 0.4381152784974308 0
Observer: 0.4389741369095839 0
Observer: 0.44062537467680346 0
Dropped: 0.4406899648314047 0
Observer: 0.44080112124463033 0
Observer: 0.44245354922676683 0
Observer: 0.44253088274803726 0
Observer: 0.4438653568088342 0
Dropped: 0.4470211007371023 0
Observer: 0.4471633745950043 0
Observer: 0.44753343543230295 0
Observer: 0.44765507416073624 0
Observer: 0.449728013504816 0
Observer: 0.4501243455874151 0
Observer: 0.4503009351211145 0
Observer: 0.45086412536770143 0
Observer: 0.4524036467214421 0
Observer: 0.4532461288753786 0
Observer: 0.45335491773379616 0
Dropped: 0.45338527560443787 0
Dropped: 0.453485513000112 0
Observer: 0.45379503515172837 0
Observer: 0.45529025370290827 0
Dropped: 0.4553000260321397 0
Observer: 0.45581937413168183 0
Observer: 0.45803247305697725 0
Dropped: 0.4583310165687456 0
Observer: 0.4596638970078341 0
Dropped: 0.4604291042679965 0
Observer: 0.4625649797254448 0
Dropped: 0.46257317261621833 0
Dropped: 0.464319097091519 0
Observer: 0.46487498272198735 0
Observer: 0.465594631530728 0
Observer: 0.4657650685681827 0
Observer: 0.46651913144672996 0
Observer: 0.46671781647718485 0
Observer: 0.46787988780854733 0
Observer: 0.4679013620995358 0
Observer: 0.4688965225713077 0
Observer: 0.46985639693900927 0
Observer: 0.4704567220384909 0
Observer: 0.47122281432176555 0
Dropped: 0.4720026188653347 0
Observer: 0.47223880781197225 0
Observer: 0.47296394798589336 0
Observer: 0.4729723144396793 0
Observer: 0.47342731063653726 0
Dropped: 0.47418405778759726 0
Dropped: 0.47451278697334764 0
Observer: 0.474642442502001 0
Observer: 0.4751633552952523 0
Dropped: 0.4753341695170455 0
Observer: 0.47543651247799557 0
Observer: 0.4756478756272062 0
Observer: 0.4757780086640008 0
Observer: 0.47641865947045825 0
Observer: 0.47703181384439364 0
Observer: 0.47732629764887186 0
Observer: 0.47772224044268075 0
Observer: 0.4777988385186836 0
Observer: 0.47871241443051776 0
Observer: 0.48018630812505253 0
Dropped: 0.48121599838542206 0
Observer: 0.48152814774341846 0
Observer: 0.4829153677262656 0
Observer: 0.48347131770890645 0
Observer: 0.48488416860853123 0
Observer: 0.48523161361233025 0
Observer: 0.4853473141561315 0
Observer: 0.4855262608939828 0
Observer: 0.48556114666796746 0
Observer: 0.4879997169933324 0
Dropped: 0.48847553406326233 0
Observer: 0.4886424754771126 0
Observer: 0.48929633729389116 0
Dropped: 0.4895499037811652 0
Observer: 0.490223635259571 0
Observer: 0.49157348944044393 0
Dropped: 0.49233587385831407 0
Observer: 0.49283095395848003 0
Observer: 0.4945494564738411 0
Observer: 0.4947363137780304 0
Observer: 0.4965713878825259 0
Observer: 0.49766954885494563 0
Observer: 0.49830736655083213 0
Dropped: 0.4986312771810185 0
Observer: 0.500214004727552 0
Observer: 0.5006820964019844 0
Observer: 0.5012099185743583 0
Observer: 0.501264289353992 0
Observer: 0.5031845230866162 0
Observer: 0.5046333285910376 0
Observer: 0.5046985804761656 0
Observer: 0.5048805394171343 0
Observer: 0.5049471207532116 0
Observer: 0.505278474938883 0
Observer: 0.5060733591410684 0
Dropped: 0.5062405659429712 0
Observer: 0.5073755882114103 0
Observer: 0.5074095482819297 0
Observer: 0.5076649091124993 0
Observer: 0.5077361596867876 0
Observer: 0.5086167961490193 0
Dropped: 0.5088595691149144 0
Dropped: 0.5093660169214239 0
Dropped: 0.5095154903762077 0
Observer: 0.5104693598659948 0
Observer: 0.5108370925714117 0
Observer: 0.5112395988056478 0
Observer: 0.5117474653161164 0
Observer: 0.5122221809381045 0
Dropped: 0.5125505540022405 0
Observer: 0.5125799542695589 0
Dropped: 0.5135985754518826 0
Observer: 0.514067592082054 0
Dropped: 0.5144828279737462 0
Observer: 0.5147744198466848 0
